"specimen_ID","Genus","species","Subspecies","common_name","Year","yr_accuracy","Status","State","County","Locality","HUC8_number","HUC8_name","GISLatDD","GISLongDD","lat_long_accuracy","lat_long_source","disposal","Museum_Cat_No","record_type","Reference"
280194,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2008,"Estimated","established","FL","Brevard","Turkey Creek.","3080202","Cape Canaveral",28.02807,-80.58728,"Approximate","GNIS","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=23945"
1321643,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2016,"Actual","established","FL","Brevard","Yacht Club Culvert","3080202","Cape Canaveral",28.14556,-80.59083,"Accurate","reported","NULL","NULL","Personal communication","No literature reference available. For more information contact NAS staff"
1321087,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2016,"Actual","established","FL","Broward","C-11 Canal (near SW 106th Ave)","3090206","Florida Southeast Coast",26.0643,-80.28841,"Accurate","reported","NULL","238349","Personal communication","No literature reference available. For more information contact NAS staff"
1321105,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2016,"Actual","established","FL","Broward","C-11 Canal near intersection of Griffin Rd and Weston Rd","3090206","Florida Southeast Coast",26.0633,-80.35952,"Accurate","reported","NULL","238390","Personal communication","No literature reference available. For more information contact NAS staff"
785890,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2015,"Actual","established","FL","Broward","C-304 Canal, approximately 3 miles upstream of junction with L-30/L-33 canals","3090202","Everglades",25.97736,-80.47041,"Accurate","reported","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=24369"
785564,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2015,"Actual","established","FL","Broward","Canal behind NW 18th Manor, Coral Springs","3090206","Florida Southeast Coast",26.25417,-80.27893,"Accurate","reported","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=24369"
558264,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2013,"Actual","established","FL","Broward","Canal behind NW 26th Place, Sunrise.","3090206","Florida Southeast Coast",26.15854,-80.26439,"Accurate","reported","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=24369"
615071,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2013,"Actual","established","FL","Broward","Canal in Coral Springs","3090206","Florida Southeast Coast",26.27476,-80.25928,"Accurate","reported","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=24369"
645668,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2014,"Actual","established","FL","Broward","Canal in Miramar","3090206","Florida Southeast Coast",25.971,-80.36589,"Accurate","reported","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=24369"
785881,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2015,"Actual","established","FL","Broward","Canal in Pembroke Pines","3090206","Florida Southeast Coast",26.0249,-80.34647,"Accurate","reported","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=24369"
156936,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2003,"Actual","established","FL","Broward","canal in Tamarac, behind 7610 Westwood Dr., near the bridge.","3090202","Everglades",26.2147,-80.2796,"Accurate","Map derived","NULL","NULL","Personal communication","No literature reference available. For more information contact NAS staff"
785883,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2015,"Actual","established","FL","Broward","Canal near intersection of S Flamingo Rd and Griffin Rd, Davie","3090206","Florida Southeast Coast",26.06614,-80.314,"Accurate","reported","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=24369"
785878,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2015,"Actual","established","FL","Broward","Drainage canal near intersection of NW 89th Ave and Stirling Rd, Cooper City","3090206","Florida Southeast Coast",26.04348,-80.26487,"Accurate","reported","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=24369"
1322847,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2016,"Actual","established","FL","Broward","Hillsboro Canal (G-08)","3090206","Florida Southeast Coast",26.34619,-80.26729,"Accurate","reported","NULL","NULL","Personal communication","No literature reference available. For more information contact NAS staff"
164669,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",1999,"Estimated","established","FL","Broward","Holiday Park, FL","3090202","Everglades",26.1342,-80.1486,"Accurate","GNIS","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=14825"
785891,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2015,"Actual","established","FL","Broward","L-4 Canal, approximately 0.75 miles east of junction with L-3 Canal","3090202","Everglades",26.33157,-80.86777,"Accurate","reported","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=24369"
785892,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2015,"Actual","established","FL","Broward","L-4 Canal, at southbound turn of L-3 Canal ","3090202","Everglades",26.33175,-80.83125,"Accurate","reported","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=24369"
785877,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2015,"Actual","established","FL","Broward","Pond in Tree Tops Park, Davie","3090206","Florida Southeast Coast",26.06735,-80.27687,"Accurate","reported","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=24369"
1322873,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2016,"Actual","established","FL","Broward","Sunset Lakes, Miramar, Broward Co.","3090206","Florida Southeast Coast",25.98279,-80.40792,"Accurate","reported","NULL","NULL","Personal communication","No literature reference available. For more information contact NAS staff"
1321099,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2016,"Actual","established","FL","Broward","Tigertail Pond 2","3090206","Florida Southeast Coast",26.04964,-80.16566,"Accurate","reported","NULL","238394","Personal communication","No literature reference available. For more information contact NAS staff"
157595,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2003,"Actual","established","FL","Charlotte","Charlotte Harbor","3100103","Charlotte Harbor",26.54979257,-82.14911098,"Centroid","Calculated by GIS","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=13675"
282354,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2007,"Actual","established","FL","Charlotte","Charlotte Harbor on East shore just above Burnt Store Marina","3100103","Charlotte Harbor",26.77258,-82.06235,"Accurate","reported","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=24406"
282285,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2004,"Actual","established","FL","Charlotte","Charlotte Harbor, East shore just South of Charlotte Park","3100103","Charlotte Harbor",26.85922,-82.05837,"Accurate","reported","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=24406"
163689,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2003,"Actual","established","FL","Charlotte","North Silcox Creek","3100103","Charlotte Harbor",26.85298,-82.05006,"Accurate","Map derived","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=14162"
785558,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2015,"Actual","established","FL","Charlotte","Retention pond in Meadows and Villas housing development","3100103","Charlotte Harbor",26.84739,-82.22855,"Accurate","reported","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=24369"
625251,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2013,"Actual","established","FL","Charlotte","Shell Creek just below dam","3100101","Peace",26.98498,-81.93611,"Accurate","Map derived","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=24369"
282118,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2003,"Actual","established","FL","Charlotte","South Silcox Creek","3100103","Charlotte Harbor",26.84869,-82.04886,"Accurate","Map derived","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=14162"
290302,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2003,"Actual","established","FL","Charlotte","Whidden Branch, unnamed tidal pond, 1.0 miles W of Hwy 765 at South Punta Gorda Heights.","3100103","Charlotte Harbor",26.8519,-82.0336,"Accurate","reported","Mississippi Museum of Natural Science","MMNS 42208","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=24859"
157578,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",1999,"Publication Year","established","FL","Collier","Big Cypress National Preserve","3090204","Big Cypress Swamp",25.937873,-80.924789,"Approximate","Map derived","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=13672"
164476,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",1999,"Publication Year","established","FL","Collier","Big Cypress National Preserve","3090204","Big Cypress Swamp",25.937873,-80.924789,"Approximate","Map derived","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=14428"
254312,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2003,"Actual","established","FL","Collier","Big Cypress National Preserve, Birdon Rd where the canal cuts across diagonally, just north of US-41","3090204","Big Cypress Swamp",25.905986,-81.310646,"Accurate","reported","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=18109"
254214,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2003,"Actual","established","FL","Collier","Big Cypress National Preserve, canal 0.1 miles NE of intersection of US 41 (Tamiami Trail) and SR 29 (Collier Ave)","3090204","Big Cypress Swamp",25.9114,-81.3628,"Accurate","reported","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=18109"
630564,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2014,"Actual","established","FL","Collier","Big Cypress National Preserve, Canal along Loop Rd 54 m S of US-41","3090204","Big Cypress Swamp",25.86317,-81.10066,"Accurate","reported","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=24369"
254218,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2003,"Actual","established","FL","Collier","Big Cypress National Preserve, canal at the intersection of SR 29 (Collier Ave) and Wagon Wheel Rd (SR 837)","3090204","Big Cypress Swamp",25.9647,-81.3531,"Accurate","reported","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=18109"
254219,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2003,"Actual","established","FL","Collier","Big Cypress National Preserve, canal at the intersection of SR 29 (Collier Ave) and Wagon Wheel Rd (SR 837)","3090204","Big Cypress Swamp",25.9647,-81.3531,"Accurate","reported","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=18109"
254272,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2002,"Actual","established","FL","Collier","Big Cypress National Preserve, canal at the intersection of US-41 and 11 mile rd","3090204","Big Cypress Swamp",25.8483,-80.9508,"Accurate","reported","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=18109"
254215,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2004,"Actual","established","FL","Collier","Big Cypress National Preserve, canal off of SR 29 (Collier Ave) 0.3 miles north of intersection with US 41 (Tamiami Trail)","3090204","Big Cypress Swamp",25.9147,-81.3617,"Accurate","reported","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=18109"
254213,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2003,"Actual","established","FL","Collier","Big Cypress National Preserve, Canal off of SR 29 (Collier Ave), 0.2 miles south of the junction with US 41 (Tamiami Trail)","3090204","Big Cypress Swamp",25.9072,-81.3664,"Accurate","reported","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=18109"
254216,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2003,"Actual","established","FL","Collier","Big Cypress National Preserve, canal off of SR 29 (Collier Ave), 0.7 miles north of intersection with US 41 (Tamiami Trail)","3090204","Big Cypress Swamp",25.9197,-81.3583,"Accurate","reported","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=18109"
254217,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2003,"Actual","established","FL","Collier","Big Cypress National Preserve, canal off of SR 29 (Collier Ave), 1 mile north of intersection with US 41 (Tamiami Trail)","3090204","Big Cypress Swamp",25.9247,-81.3575,"Accurate","reported","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=18109"
254212,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2004,"Actual","established","FL","Collier","Big Cypress National Preserve, Canal off of US 41 (Tamiami Trail), 0.8 miles east of the junction with SR 29","3090204","Big Cypress Swamp",25.9067,-81.3528,"Accurate","reported","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=18109"
254211,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2003,"Actual","established","FL","Collier","Big Cypress National Preserve, Canal off of US 41 (Tamiami Trail), 1.2 miles east of the junction with SR 29","3090204","Big Cypress Swamp",25.9053,-81.3478,"Accurate","reported","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=18109"
254316,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2003,"Actual","established","FL","Collier","Big Cypress National Preserve, Canal on Birdon Rd 1.3 miles north of US-41","3090204","Big Cypress Swamp",25.920582,-81.31056,"Accurate","reported","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=18109"
254643,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2004,"Actual","established","FL","Collier","Big Cypress National Preserve, coastal marsh 1 mile south of the end of Sea Grape Dr","3090204","Big Cypress Swamp",25.8881,-81.3275,"Accurate","reported","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=18109"
254350,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2003,"Actual","established","FL","Collier","Big Cypress National Preserve, coastal marsh 1 mile south of the end of Sea Grape Dr","3090204","Big Cypress Swamp",25.8881,-81.3275,"Accurate","reported","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=18109"
254264,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2002,"Actual","established","FL","Collier","Big Cypress National Preserve, coastal marsh off US-41, 1.5 miles east of Carnestown","3090204","Big Cypress Swamp",25.9025,-81.3414,"Accurate","reported","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=18109"
254275,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2002,"Actual","established","FL","Collier","Big Cypress National Preserve, cypress forest 0.26 miles southeast of the Oasis Visitor Center (Roberts Lake Strand)","3090204","Big Cypress Swamp",25.8539,-81.0314,"Accurate","reported","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=18109"
254650,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2004,"Actual","established","FL","Collier","Big Cypress National Preserve, cypress forest 0.8 miles southeast of Bear Island campground","3090204","Big Cypress Swamp",26.1747,-81.2378,"Accurate","reported","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=18109"
254203,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2002,"Actual","established","FL","Collier","Big Cypress National Preserve, Cypress forest off of Wagon Wheel Rd (SR 837)","3090204","Big Cypress Swamp",25.975,-81.3106,"Accurate","reported","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=18109"
254207,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2002,"Actual","established","FL","Collier","Big Cypress National Preserve, Cypress Prairie just east of 11 Mile Rd","3090204","Big Cypress Swamp",25.8808,-80.9536,"Accurate","reported","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=18109"
254247,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2002,"Actual","established","FL","Collier","Big Cypress National Preserve, freshwater marsh off of loop road, 3.5 miles south of juncture with US 41 (Tamiami Trail)","3090204","Big Cypress Swamp",25.8119,-81.1003,"Accurate","reported","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=18109"
254279,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2002,"Actual","established","FL","Collier","Big Cypress National Preserve, herbaceous prairie 0.2 miles east of the end of Turner River Road","3090204","Big Cypress Swamp",26.185,-81.2628,"Accurate","reported","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=18109"
254206,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2002,"Actual","established","FL","Collier","Big Cypress National Preserve, Herbaceous prairie off of Wagon Wheel Rd (SR 837)","3090204","Big Cypress Swamp",25.9936,-81.2986,"Accurate","reported","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=18109"
254642,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2004,"Actual","established","FL","Collier","Big Cypress National Preserve, L-28 Interceptor Canal, 2.5 miles north of I-75","3090204","Big Cypress Swamp",26.2278,-80.9203,"Accurate","reported","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=18109"
254639,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2004,"Actual","established","FL","Collier","Big Cypress National Preserve, mixed swamp forest 5 miles east of the intersection of Wagon Wheel Rd and Turner River Rd","3090204","Big Cypress Swamp",25.9992,-81.1686,"Accurate","reported","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=18109"
254238,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2002,"Actual","established","FL","Collier","Big Cypress National Preserve, Turner River where it crosses US 41 (Tamiami Trail)","3090204","Big Cypress Swamp",25.8911,-81.27,"Accurate","reported","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=18109"
158036,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",1999,"Publication Year","established","FL","Collier","Everglades National Park","3090202","Everglades",25.47206,-80.6045,"Approximate","GNIS","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=13672"
164009,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2005,"Publication Year","established","FL","Collier","Florida Panther National Wildlife Refuge","3090204","Big Cypress Swamp",26.1722222,-81.377222,"Approximate","GNIS","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=14257"
262003,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2009,"Actual","established","FL","Collier","Naples, in an unspecified pond","3090204","Big Cypress Swamp",26.146809,-81.796646,"Approximate","Map derived","NULL","NULL","Personal communication","No literature reference available. For more information contact NAS staff"
267123,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2007,"Actual","established","FL","Collier","Panther Island Mitigation Bank, various wetlands","3090204","Big Cypress Swamp",26.4113815,-81.618598,"Approximate","reported","NULL","NULL","Personal communication","No literature reference available. For more information contact NAS staff"
267081,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2007,"Actual","established","FL","Collier","roadside ditch, Collier Boulevard and Rockledge Dr(CR 951), Naples","3090204","Big Cypress Swamp",26.2677755,-81.688896,"Accurate","reported","NULL","NULL","Personal communication","No literature reference available. For more information contact NAS staff"
267082,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2009,"Actual","established","FL","Collier","roadside ditch, Collier Boulevard and Rockledge Dr(CR 951), Naples","3090204","Big Cypress Swamp",26.2677755,-81.688896,"Accurate","reported","NULL","NULL","Personal communication","No literature reference available. For more information contact NAS staff"
267090,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2007,"Actual","established","FL","Collier","roadside ditch, Immokalee Rd (CR 846) just north of 47th Ave NE, adjacent to Corkscrew Swamp Sanctuary","3090204","Big Cypress Swamp",26.3261845,-81.594644,"Accurate","reported","NULL","NULL","Personal communication","No literature reference available. For more information contact NAS staff"
267147,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2007,"Actual","established","FL","Collier","roadside ditch, Southeast Florida Water Management District [4.4 miles NW of Orangetree]","3090204","Big Cypress Swamp",26.3502362,-81.620643,"Accurate","reported","NULL","NULL","Personal communication","No literature reference available. For more information contact NAS staff"
850722,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2015,"Actual","established","FL","Collier","Ten Thousand Islands National Wildlife Refuge, 3km south of US41 and 4km west of Port of the Islands","3090204","Big Cypress Swamp",25.95592,-81.52871,"Accurate","reported","NULL","NULL","Personal communication","No literature reference available. For more information contact NAS staff"
862570,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2015,"Actual","established","FL","Glades","Tributary canal to Caloosahatchee Canal, southwest of Moore Haven","3090205","Caloosahatchee",26.81676,-81.10103,"Accurate","reported","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=24369"
